seccion,tipo,id_casilla,domicilio,ubicacion,referencia,lat,lng
0488,BASICA,1,"SIERRA MAESTRA, SIN NÚMERO, LOMA LINDA, CÓDIGO POSTAL 68024, OAXACA DE JUÁREZ, OAXACA",SALÓN DE USOS MÚLTIPLES DE LA COLONIA LOMA LINDA,ENTRE LAS CALLES MARÍA LUISA Y SIERRA NEVADA,17.0895101,-96.7207843
0489,BASICA,1,"ANTONIO ROLDÁN, NÚMERO 124, OLÍMPICA, CÓDIGO POSTAL 68020, OAXACA DE JUÁREZ, OAXACA.",AL EXTERIOR DEL DOMICILIO PARTICULAR,ENTRE AVENIDA MÉXICO 68 Y CALLE RADAMÉS TREVIÑO,17.088825,-96.71435919999990
0490,BASICA,1,"POPOCATÉPETL, NÚMERO 206, VOLCANES, CÓDIGO POSTAL 68020, OAXACA DE JUAREZ, OAXACA",INSTITUTO ADOLFO FERRIERE,ENTRE MESA DE ANAHÚAC Y ZINANTÉCATL,17.0903765,-96.70907799999990
0491,BASICA,1,"MESA DE ANAHUAC, NÚMERO 513 A, VOLCANES, CÓDIGO POSTAL 68020, OAXACA DE JUÁREZ, OAXACA",DOMICILIO PARTICULAR,,17.0919246,-96.705543
0492,BASICA,1,"BUGAMBILIAS, NÚMERO 300, JARDÍN, CÓDIGO POSTAL 68023, OAXACA DE JUÁREZ, OAXACA",OFICINA DEL COMITÉ DE VIDA VECINAL (COMVIVE) EL POZO,A 20 METROS DEL PUENTE DE LA CARRETERA A SAN LUIS BELTRÁN,17.0929041,-96.70058309999990
0494,BASICA,1,"POCHUTLA, NÚMERO 309, SIETE REGIONES, CÓDIGO POSTAL 68023, OAXACA DE JUÁREZ, OAXACA",ESCUELA PRIMARIA GUELAGUETZA,ENTRE LAS CALLES MIXTECA E IXTLÁN,17.0888517,-96.6959409
0495,BASICA,1,"5 DE FEBRERO, NÚMERO 119, DOLORES, CÓDIGO POSTAL 68028, OAXACA DE JUÁREZ, OAXACA",AL EXTERIOR DEL DOMICILIO PARTICULAR,ENTRE LAS CALLES AQUILES SERDÁN E HIDALGO,17.087802,-96.70119679999990
0496,BASICA,1,"PLAN DE AYALA, SIN NÚMERO, DOLORES, CÓDIGO POSTAL 68028, OAXACA DE JUÁREZ, OAXACA",PARQUE PONIENTE,ESQUINA CALLE FRANCISCO VILLA Y PLAN DE AYALA,17.0857889,-96.7080263
0497,BASICA,1,"PARICUTÍN, NÚMERO 411, VOLCANES, CÓDIGO POSTAL 68020, OAXACA DE JUÁREZ, OAXACA",AL EXTERIOR DEL DOMICILIO PARTICULAR,ENTRE LAS CALLES QUINCEO Y RÍO QUIOTEPEC,17.0876292,-96.7064347
0498,BASICA,1,"ANDADOR JÚPITER, SIN NÚMERO, UNIDAD HABITACIONAL INFONAVIT PRIMERO DE MAYO, CÓDIGO POSTAL 68027, OAXACA DE JUÁREZ, OAXACA",PLAZA LAS GALAXIAS,ESQUINA ANDADOR NEPTUNO Y ANDADOR SELENE,17.0867604,-96.7102242
0499,BASICA,1,"SECTOR 1, SIN NÚMERO, SEGUNDA ETAPA, UNIDAD HABITACIONAL INFONAVIT PRIMERO DE MAYO, CÓDIGO POSTAL 68027, OAXACA DE JUÁREZ, OAXACA",CANCHAS DE BÁSQUETBOL,ENTRE LAS CALLES MÉXICO 68 Y CIRCUITO PONIENTE,17.0865092,-96.71428139999990
0501,BASICA,1,"6 ORIENTE, NÚMERO 106, CUAUHTÉMOC, CÓDIGO POSTAL 68010, OAXACA DE JUÁREZ, OAXACA",DOMICILIO PARTICULAR,ENTRE LAS CALLES PÍPILA Y EJÉRCITO NACIONAL,17.0861042,-96.7444575
